CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
45001,0.9731098315351967,0.35765439711526215,0.6061633665527357,0.2796542397500686,-0.17342739564961784,0.15529687189611474,South Carolina,SC,45
45003,0.9482432302957722,0.2708134110588831,0.6258502155801211,0.5544076877536226,-0.025974953573639326,-0.036148965246805886,South Carolina,SC,45
45005,0.9795305172224531,0.2347713278859931,0.22205081470338908,0.09273296455459076,-0.0991896758703481,0.26694418279645826,South Carolina,SC,45
45007,0.9548716849748782,0.4450461481505885,0.642349263332611,0.5554975186469067,-0.017669884231792943,0.2090298937090438,South Carolina,SC,45
45009,0.9832808631547376,0.22568215590785085,0.33425549804524785,0.33476120021469125,-0.436489870248122,-0.14572428726747333,South Carolina,SC,45
45011,0.9801005639895485,0.2447129250533342,0.4612470554994211,0.35794071065656335,0.0,0.09625678028077767,South Carolina,SC,45
45013,0.9217425940147583,0.5340413205587098,0.5469062247474513,0.592310148365241,-0.05892148847912315,-0.48495279461814533,South Carolina,SC,45
45015,0.8790425279422979,0.2923271274230057,0.5894405701001776,0.5406401993938169,-0.05400696864111498,-0.07226444840061674,South Carolina,SC,45
45017,0.9643044611621141,0.2102309671365214,0.5304657855951597,0.2455404448795993,-0.26678886852191297,0.11119042896694364,South Carolina,SC,45
45019,0.9444273255570914,0.5059387621041425,0.4880366329556492,0.6816036936981377,-0.005277930603605041,-0.19599961644868102,South Carolina,SC,45
45021,0.9340373026966013,0.45260821090034886,0.5917764305201858,0.6283037068300616,-0.038087733123194134,0.114542743598677,South Carolina,SC,45
45023,0.9830274832540985,0.336474873040339,0.5109624922890751,0.5097785382145548,-0.07743067156698968,-0.22936954509458118,South Carolina,SC,45
45025,0.943648721912776,0.23286419378774798,0.5905781364298834,0.3105994780809146,-0.07142371267260728,0.0236011705808572,South Carolina,SC,45
45027,0.9897073458095238,0.33371884512874467,0.41269965429057553,0.2909295152157839,-0.05377077648226247,0.26416557322451073,South Carolina,SC,45
45029,0.9941997757620392,0.23750377589782784,0.5371850419879051,0.41152609224106346,0.0,0.06281205331358031,South Carolina,SC,45
45031,0.9819464907953002,0.3154671367593398,0.4629985944371444,0.4299116159191373,-0.029367989254728277,0.22440351702958594,South Carolina,SC,45
45033,0.9658359830151164,0.2102026434765919,0.4364909301799864,0.31666428589160395,-0.07774369915988799,0.037884325999394175,South Carolina,SC,45
45035,0.921620588824193,0.2304483468962308,0.6322600776241624,0.6224942777877294,-0.0260825780463243,-0.017825104683234727,South Carolina,SC,45
45037,0.9498526274442916,0.2824288230250891,0.543595268295355,0.29076801492247006,-0.07496582904005888,0.27084721934978284,South Carolina,SC,45
45039,0.998044581747459,0.19050523567718314,0.36793841558483964,0.30225369832895255,-0.12671905697445973,-0.05522663103577763,South Carolina,SC,45
45041,0.9589060648511716,0.38062292583627505,0.41492907891449593,0.5458630068557975,-0.03618671126653494,-0.11511819781640398,South Carolina,SC,45
45043,0.9386060395634569,0.3897555838646948,0.5419983315010762,0.44293945696549547,-0.09666301112329623,-0.30435295935905327,South Carolina,SC,45
45045,0.9049604490294901,0.39230101456339916,0.6053467485094199,0.5842148440647743,-0.00012289953521626984,-0.036554652899312146,South Carolina,SC,45
45047,0.9433623974143882,0.28288350495459436,0.5690430729438615,0.5502326126993347,-0.05021295673615778,0.2693248526366432,South Carolina,SC,45
45049,0.969515506106497,0.302385147718066,0.38112937024159543,0.1698887747344605,-0.13089656492201707,-0.3018635868507533,South Carolina,SC,45
45051,0.9359352009842082,0.41107704855534555,0.702284009004034,0.5193954855436043,-0.00534093737977237,-0.1926843223058725,South Carolina,SC,45
45053,0.976121073898086,0.23726153875603606,0.4812332351015145,0.2810975710708612,-0.17801662608111513,-0.160000761666093,South Carolina,SC,45
45055,0.9556326245951421,0.22331503802415373,0.654667513920408,0.572617810332785,-0.01312796516539938,0.00537427861321671,South Carolina,SC,45
45057,0.9568438637860197,0.4165076692369609,0.5887111121209587,0.46642395358884886,-0.10560478054811462,-0.2975157420776382,South Carolina,SC,45
45059,0.9368485098554592,0.2864426001385419,0.6237304967273245,0.45703320240894196,-0.02866380650376177,-4.741594824864137e-05,South Carolina,SC,45
45061,0.9829137029566573,0.28369894344851604,0.30062223140018907,0.20795134972598692,-0.2376601272059482,0.16179345445756255,South Carolina,SC,45
45063,0.9373267952179136,0.37137299552334907,0.6857781076770244,0.5653040814098734,-0.007760042749936136,-0.2225568333804624,South Carolina,SC,45
45065,0.9680053622838117,0.3220237621593442,0.44747555393985394,0.3869831955429098,-0.1777101381409506,0.2784671817685165,South Carolina,SC,45
45067,0.9710738267245644,0.18137397280672735,0.377143287098074,0.37886626329882944,-0.05841595313204151,0.11480298105767117,South Carolina,SC,45
45069,0.9494245411435677,0.2504606604037569,0.38610130096676853,0.3859642395256098,-0.059951150914069995,-0.003714427649836871,South Carolina,SC,45
45071,0.9123948243473297,0.3466772341266343,0.5224800112804057,0.5218473076647413,-0.019110961441320073,0.390812250588366,South Carolina,SC,45
45073,0.9308875101125164,0.41485268161528166,0.8131353079358163,0.6906470955691937,-0.04495015986458528,-0.05798866235244571,South Carolina,SC,45
45075,0.9700128732345571,0.30424613401732814,0.3018166262917559,0.41463440026752474,-0.06113811521614576,0.07366589993782569,South Carolina,SC,45
45077,0.9397295480866802,0.31422585831911526,0.8365479565271418,0.665453903802445,-0.012203791469194258,0.18454762810530134,South Carolina,SC,45
45079,0.9170176675675855,0.4547085370753432,0.3179137052324271,0.6243163198088678,-0.019513231681403065,0.1888674605337073,South Carolina,SC,45
45081,0.8812703135116061,0.23614506189299406,0.6250347364177854,0.2688417456317881,-0.17030053034767234,0.2131982069932319,South Carolina,SC,45
45083,0.9329916876491021,0.384498386404574,0.6001651347719209,0.5811345978131905,-0.003732771822358316,-0.054640449637911814,South Carolina,SC,45
