CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
35001,0.7717817606643305,0.3486187402002837,0.7108617924128027,0.7940674449270948,-0.0004968450340339103,0.05292046549337215,New Mexico,NM,35
35003,,0.0,0.0,0.0,0.0,0.0,New Mexico,NM,35
35005,0.8816739905852582,0.38828808670233994,0.851799226237175,0.8637959274178139,-0.007905138339920903,0.2066606105602995,New Mexico,NM,35
35006,0.6773667040158765,0.371262371107716,0.5447454197720902,0.47872249014036167,-0.0505050505050505,-0.05243433406130604,New Mexico,NM,35
35007,0.9050636714799244,0.46414742299468364,0.8337021168872577,0.5050176633183914,-0.0898876404494382,0.448333416210303,New Mexico,NM,35
35009,0.6925502503121269,0.3551237606867187,0.6195502118903853,0.9347374344146582,0.0,0.14278398335693598,New Mexico,NM,35
35011,0.6843137254901961,0.0,0.6686274509803921,0.0,0.0,0.0,New Mexico,NM,35
35013,0.8882408923362768,0.4369926486937849,0.8303229650307644,0.7973002678063014,0.0,0.27246741007042274,New Mexico,NM,35
35015,0.9243393624633505,0.33632776052662366,0.8844838964044708,0.7692457032274949,0.0,-0.11339979062667993,New Mexico,NM,35
35017,0.9063285374732425,0.4410456496293406,0.9169988163997311,0.9012978587702005,0.0,-0.023896286312205195,New Mexico,NM,35
35019,0.7877325982081324,0.0,0.7799218929473926,0.0,0.0,0.0,New Mexico,NM,35
35021,,0.0,0.0,0.0,0.0,0.0,New Mexico,NM,35
35023,0.9485449177600938,0.13643797605593685,0.936561555697879,0.6793909535515559,-0.31481481481481477,0.13643797605593688,New Mexico,NM,35
35025,0.9113020254173966,0.37958472820104305,0.8435213906676222,0.9209538007546241,-0.010772659732540824,0.3606528025134752,New Mexico,NM,35
35027,0.9781786117868874,0.3162957882747725,0.9729754721232903,0.407986651985507,-0.05769230769230771,0.08227907527382072,New Mexico,NM,35
35028,0.8725932861799491,0.4010307421425567,0.7973399787285471,0.2857292895356637,0.0,0.1633569056144586,New Mexico,NM,35
35029,0.9133409053886686,0.3556318876091188,0.8961650694941499,0.7925184321961007,-0.1417322834645669,0.14136038312110832,New Mexico,NM,35
35031,0.3723155404515982,0.3035651701644947,0.30419990450672335,0.7517689565865747,0.0,0.06405582117410091,New Mexico,NM,35
35033,0.6598324514991182,0.0,0.6593915343915344,0.0,0.0,0.0,New Mexico,NM,35
35035,0.873905760265032,0.3879139934960992,0.7977949870324976,0.6735113657938561,-0.014084507042253502,0.16588516772606887,New Mexico,NM,35
35037,0.9021294326111357,0.5779793881710982,0.8780443652665597,0.9683232264454378,0.0,0.01601515124710806,New Mexico,NM,35
35039,0.762847992062187,0.43292533835776026,0.43849193724144503,0.4549726719987705,-0.3545816733067729,-0.24738226396459906,New Mexico,NM,35
35041,0.7809098788626098,0.4756550167766358,0.7585873356994811,0.9156281419519792,-0.018867924528301883,0.5088781824318511,New Mexico,NM,35
35043,0.8176799655018758,0.23506733297547905,0.7913020323301765,0.9356922930069344,0.0,0.26411231710173233,New Mexico,NM,35
35045,0.6273365180990546,0.45639700339293326,0.6109554741673321,0.8687678513660099,0.0,0.18982979578514403,New Mexico,NM,35
35047,0.616319261940949,0.3526141971752357,0.6259705529924782,0.6755590468885212,-0.1315068493150685,-0.18818779181198098,New Mexico,NM,35
35049,0.8745119453092078,0.5199271721311102,0.8037968962887215,0.8260726755021448,0.0,0.09482397578445045,New Mexico,NM,35
35051,0.845248770819523,0.47697679326830433,0.8830004767610702,0.9962372225246137,0.0,0.5820218945282032,New Mexico,NM,35
35053,0.8148301622051813,0.8228290795446089,0.7773424746980084,0.9992153421306389,0.0,-0.2766574893965328,New Mexico,NM,35
35055,0.8425297616817157,0.39581302304371446,0.825524588458707,0.7188094396506144,0.0,0.23924989467580282,New Mexico,NM,35
35057,0.9140886795724615,0.3469722524260254,0.8980481431199281,0.7333182546345698,0.0,-0.05402332214784722,New Mexico,NM,35
35059,0.883135736752964,0.0,0.8669247519961287,0.0,0.0,0.0,New Mexico,NM,35
35061,0.8485638353450194,0.47036388781282623,0.8217912919469609,0.7725352897827258,0.0,0.054921789431841006,New Mexico,NM,35
