CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
18001,0.9725957665796257,0.5527163260362673,0.9334270629883612,0.7983524967189629,0.0,0.23999339655973095,Indiana,IN,18
18003,0.8870418650177445,0.5378329176847709,0.5586710894292419,0.776580025976882,0.0,-0.1890349462894001,Indiana,IN,18
18005,0.8539088398415565,0.3497592148839554,0.8129872655523633,0.5758198753820886,-0.044544867656552634,-0.016244823331451386,Indiana,IN,18
18007,0.9775597120224278,0.314228770260747,0.9662913606585533,0.2825621275508585,-0.5116279069767442,-0.3752532593375616,Indiana,IN,18
18009,0.9786842921318618,0.7408518296340731,0.9834146341463414,0.4836155528126288,-1.0,-0.7408518296340731,Indiana,IN,18
18011,0.9496785639249019,0.4027838478207024,0.8950181589561821,0.7805646980413857,0.0,0.3531004868481622,Indiana,IN,18
18013,0.9701952165050459,0.3853765805387576,0.977755867792417,0.3293357106384155,0.0,0.34436531621994604,Indiana,IN,18
18015,0.9498273458834152,0.6275629058765337,0.9368120468201726,0.8778681496671524,0.0,-0.10284421609872751,Indiana,IN,18
18017,0.7356511981273796,0.5069862465843866,0.8066689648685943,0.6796575422918596,-0.006802721088435382,0.25538485584760906,Indiana,IN,18
18019,0.9341456904111799,0.4426842452152221,0.7984871748672162,0.8050068822066851,0.0,-0.30693113253864635,Indiana,IN,18
18021,0.9698355820294114,0.4726403539962861,0.9488224221431334,0.707093062449829,0.0,0.4789922455561899,Indiana,IN,18
18023,0.8788980576921904,0.442454905255844,0.8736457730298867,0.7466624669687505,-0.13059701492537312,-0.001603222806059179,Indiana,IN,18
18025,0.9627647089237902,0.3128551659858576,0.9630705209239872,0.4762321142431428,-0.6585365853658536,-0.3855313402032441,Indiana,IN,18
18027,0.9435004660121138,0.673841184924835,0.822348369914878,0.878840122921057,-0.021472392638036797,-0.4919329162456807,Indiana,IN,18
18029,0.9690671090025804,0.50947580359254,0.9648930370875692,0.5461427301572339,-0.16705336426914152,-0.18118473302237392,Indiana,IN,18
18031,0.9934106533733664,0.38675037711383714,0.9533506728846276,0.4280858448870017,0.0,-0.07117926510398664,Indiana,IN,18
18033,0.987662230289046,0.4458604160674911,0.9683953997705624,0.7552602446561848,-0.2433333333333333,0.17373030709743453,Indiana,IN,18
18035,0.9404488983802481,0.4923902773441715,0.6778501446070088,0.8581115468463453,-0.0013654419066534418,-0.04223287703641354,Indiana,IN,18
18037,0.9292552556211005,0.6265689031473635,0.8319454170952425,0.7390804946444836,-0.038528896672504365,-0.15833517885404413,Indiana,IN,18
18039,0.9170934481867454,0.48312769881502876,0.7621376571197169,0.7569775057474969,-0.006567701304543427,0.5124245800184344,Indiana,IN,18
18041,0.9847404681327793,0.48295344853307126,0.9251944338339607,0.8401602580701328,-0.045534150612959734,0.46906093806217175,Indiana,IN,18
18043,0.9443562104646579,0.5357557094489878,0.8140822722690187,0.8107963426716963,-0.006775407779171849,0.01892258717280626,Indiana,IN,18
18045,0.9783622986720985,0.4079625403347553,0.9702152799443625,0.5508653200751717,0.0,0.24571603994932945,Indiana,IN,18
18047,0.964095556122559,0.5738287419444228,0.964255919014804,0.5792659713894699,0.0,-0.12073707933881828,Indiana,IN,18
18049,0.9874462162611618,0.6059126104681387,0.9233869327627171,0.5955308871263029,-0.13978494623655913,-0.32560312867657126,Indiana,IN,18
18051,0.9592490652019474,0.5609802333323438,0.8981235860450089,0.7781595019725656,-0.048648648648648596,0.0037879398306199796,Indiana,IN,18
18053,0.9398994482069595,0.5345708671967614,0.7697814846753039,0.854600966784816,-0.01829141550613178,0.5102733853721384,Indiana,IN,18
18055,0.9725685026291985,0.45788235235123553,0.9715202616993605,0.6582455298848903,-0.12598425196850394,0.03993220398477071,Indiana,IN,18
18057,0.9014943524030727,0.3114932436614026,0.8404975804445931,0.5145805734443151,-0.06690692572861168,0.18162911425348227,Indiana,IN,18
18059,0.9779010888360603,0.6264518295395168,0.8778694909144714,0.7036982083141615,-0.030337078651685445,0.59057459489589,Indiana,IN,18
18061,0.9744785731089649,0.2019354647632869,0.9619113108129648,0.24643882545119788,-0.25396825396825395,-0.2803948632768476,Indiana,IN,18
18063,0.9380799835748144,0.3584620878324447,0.8112081543373607,0.6608243082969529,-0.0013035543582167186,0.10630507539567269,Indiana,IN,18
18065,0.9708681758280352,0.4389261425992525,0.9067987146144717,0.7012481225804412,-0.03724696356275303,0.4785743958492512,Indiana,IN,18
18067,0.941800710588543,0.4364297138859113,0.7520078458253607,0.8553159367819987,-0.008608545938331491,0.10345555945612972,Indiana,IN,18
