CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
13001,0.8714323285683399,0.40122852109979323,0.6338661037925443,0.5965184474092029,-0.11317045773659085,-0.052268157565545925,Georgia,GA,13
13003,0.934682663181283,0.27501569236876977,0.7041775250592714,0.3359141652741569,-0.011080332409972304,0.31531333770871717,Georgia,GA,13
13005,0.9366860809115729,0.2910923322565425,0.7350346179154004,0.5006393860301035,-0.00881834215167554,0.19035764107968967,Georgia,GA,13
13007,0.9538985183963543,0.18202459525018333,0.526463510163687,0.18977663314844126,-0.2741157556270096,0.18202459525018333,Georgia,GA,13
13009,0.9603347057905385,0.16381969269445362,0.5177335766172929,0.41673000267365495,-0.12192440582137998,0.04383945353853491,Georgia,GA,13
13011,0.9478599636974356,0.4512928227726858,0.8969005378901954,0.49578994885383537,-0.12757201646090532,-0.31108385294217866,Georgia,GA,13
13013,0.8949109955827953,0.32765492510167143,0.724081140483757,0.3688758301526181,-0.026017130620984985,0.14446433318942287,Georgia,GA,13
13015,0.9309028636632566,0.35304434711989485,0.7861898218813366,0.5933617156569664,-0.008050498582014454,-0.07377776807260705,Georgia,GA,13
13017,0.9315592135508219,0.2974128346817939,0.5253909932738674,0.7246444769269942,-0.05131494547787041,0.305409335843708,Georgia,GA,13
13019,0.9414715647988355,0.23836829387540193,0.7966170272032048,0.16066201101171806,-0.16733422340898974,-0.0668000828737445,Georgia,GA,13
13021,0.9462029400382926,0.5135679541292486,0.27275400643450076,0.5543023319577425,-0.012948863976979808,0.12581174245599414,Georgia,GA,13
13023,0.9677441248831083,0.28090309583122886,0.631698919193818,0.39404301074728637,-0.1834185122089722,0.20394600296580379,Georgia,GA,13
13025,0.9720101640690283,0.23139934760627173,0.9382337821201421,0.2145470254827004,-0.5234493192133132,-0.24227019959261897,Georgia,GA,13
13027,0.9652222086135976,0.3899175741630636,0.5056479215562819,0.4588769024821595,-0.12526766595289074,-0.1976292477072501,Georgia,GA,13
13029,0.8970527646148978,0.233892454171617,0.7433351281166702,0.3826779587921064,-0.19325842696629214,-0.18701218153574617,Georgia,GA,13
13031,0.8927193466913212,0.320804566318467,0.5737526624507703,0.5457869220644997,-0.05027065191809843,-0.12574832877342157,Georgia,GA,13
13033,0.97806798985284,0.22926525907050113,0.4280853221309769,0.335142176344416,-0.04610125646711016,0.13563219776677693,Georgia,GA,13
13035,0.9724494357099208,0.3410961535320721,0.6026934851527984,0.3562529274769041,-0.38830091533180777,-0.3045843645101072,Georgia,GA,13
13037,0.9419500511716369,0.053743748434069705,0.33896066762999844,0.17476705288710573,-0.5105167488963905,-0.053743748434069705,Georgia,GA,13
13039,0.8921220849485829,0.19976631626787333,0.6952108065314471,0.5606602138597924,-0.05691707512253674,-0.15615359268134466,Georgia,GA,13
13043,0.9184468424096901,0.11738277232609268,0.6605478581752243,0.15771265388704608,-0.16842872767043382,0.13834773921275634,Georgia,GA,13
13045,0.9244850928461269,0.27029409764351225,0.6762500750144297,0.4774673342075306,-0.041210730674197005,0.0812512454811527,Georgia,GA,13
13047,0.9308350956631788,0.2985173425422622,0.9145975484796123,0.4897720959213703,-0.06212424849699394,0.030988482016505614,Georgia,GA,13
13049,0.9515169543646838,0.2952724269272424,0.5981428508717616,0.34255525300452727,-0.045334893243638485,0.2952724269272424,Georgia,GA,13
13051,0.9361004994721713,0.4524941673041166,0.36533403113261265,0.6528662687810941,0.0,0.24233530603103404,Georgia,GA,13
13053,0.8811762228800415,0.2310175124948144,0.6433658230852596,0.4817749551873539,-0.3929515418502203,-0.20571779745560148,Georgia,GA,13
13055,0.9594008829049325,0.49321753726899287,0.734872076966129,0.7415569480835371,-0.04203625144620127,-0.08971476621374919,Georgia,GA,13
13057,0.9312800396945693,0.3208858053173613,0.821867427151076,0.6078602163935203,-0.008162556443209401,0.18379067607575728,Georgia,GA,13
13059,0.908072296987119,0.31745667495370294,0.5527753730040852,0.3926638872988024,-0.026778361493681624,-0.061609947825910893,Georgia,GA,13
13061,0.9817011182649951,0.0,0.35784479837343275,0.0,0.0,0.0,Georgia,GA,13
13063,0.8601049045144493,0.28222955838218483,0.14729632127816766,0.30928621867371403,0.0,0.021144909384641863,Georgia,GA,13
13065,0.931201296509749,0.22406438752596758,0.6176169909369957,0.25213494582492335,-0.38263157894736843,-0.22406438752596758,Georgia,GA,13
13067,0.8514413213297435,0.4077159998593585,0.4707246630751232,0.34605186939188737,-0.025446853312340978,-0.16915201222531095,Georgia,GA,13
13069,0.946912508598781,0.33626527063783446,0.6046049372931472,0.5045508540522544,-0.04224777750591302,0.07584733838498536,Georgia,GA,13
13071,0.8298125000420243,0.4182368187263687,0.5344682743494947,0.6550251694264728,-0.03012615326680479,0.1878068042502301,Georgia,GA,13
13073,0.909795814073609,0.2015993740795904,0.7134913155796775,0.46994302701468793,-0.032514824690571875,0.11163964354420575,Georgia,GA,13
13075,0.9468084363012834,0.14150916110113193,0.6662769576694445,0.20022310456090733,-0.059166486719930855,0.04204240387164804,Georgia,GA,13
13077,0.9308555309909271,0.39497084102750113,0.6514232137852365,0.5689519799075262,-0.01588726676555552,0.26884231313562523,Georgia,GA,13
13079,0.9669224273533961,0.4247679269290484,0.6228448211848596,0.1432070411828824,-0.6026587887740031,-0.5053613821198022,Georgia,GA,13
13081,0.9730594603828897,0.28919288236118273,0.468637176435058,0.344302965335065,-0.1960556844547564,-0.07735912505896714,Georgia,GA,13
13083,0.954837211830836,0.21810941376158768,0.9436759300024677,0.26922705470453884,0.0,0.21991491816280928,Georgia,GA,13
