CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
30001,0.9713410631212709,0.1896756012425145,0.9397660161425925,0.5053155549996257,0.0,0.0003682710474908202,Montana,MT,30
30003,0.14064467590401186,0.8672985781990522,0.3911764705882353,0.7859461578709608,0.0,-0.6068845098528313,Montana,MT,30
30005,0.03438878010157283,0.28076424077745954,0.6623660715017291,0.5399024314333907,0.0,0.06879880541479988,Montana,MT,30
30007,0.9831485587035178,0.6143654114365411,0.9809312638580931,0.9896946796198411,-1.0,-0.6143654114365411,Montana,MT,30
30009,0.9827943507000656,0.4935274345930233,0.9656335154370443,0.8467206464786183,-0.046511627906976716,0.31168922601744176,Montana,MT,30
30011,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30013,0.8769174091249126,0.47078286321024915,0.8307140221817828,0.8902516444002324,-0.0064814814814815325,-0.2649594790174161,Montana,MT,30
30015,0.795705994709312,0.4755385996409336,0.6520647321428571,0.49553779484703553,0.0,0.4755385996409336,Montana,MT,30
30017,0.9430943973226336,0.7752920345277032,0.9109984524856322,0.9954487825798589,0.0,-0.07219216486732427,Montana,MT,30
30019,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30021,0.9538512820826754,0.4449659704294766,0.9429824561403509,0.959612628122405,0.0,0.4449659704294766,Montana,MT,30
30023,0.9541386606023801,0.4072168174516526,0.9259823027691909,0.16142721815379818,-0.23529411764705888,0.3270515914132528,Montana,MT,30
30025,0.9537829510441631,0.0,0.953440602533379,0.0,0.0,0.0,Montana,MT,30
30027,0.9316279804661681,0.15593284285983774,0.950177298503694,0.3895478703891093,-0.6,-0.15593284285983777,Montana,MT,30
30029,0.936031027134245,0.5851464242914306,0.9331595051476111,0.8475281447698565,0.0,0.35634203809149767,Montana,MT,30
30031,0.9263329008187322,0.4926595124770022,0.9129295115223256,0.9512823489461318,0.0,0.4216576180127589,Montana,MT,30
30033,1.0,0.0,0.9932432432432432,0.0,0.0,0.0,Montana,MT,30
30035,0.042247151504186994,0.3421593243551701,0.4596671348189351,0.34901275552565736,-0.3846153846153846,0.24671220128878202,Montana,MT,30
30037,0.9587912087912086,0.0,0.945054945054945,0.0,0.0,0.0,Montana,MT,30
30039,0.9637571730594987,0.0,0.9628511023859861,0.0,0.0,0.0,Montana,MT,30
30041,0.8448655053874512,0.3768089356324651,0.5121107796290312,0.9104737571766195,0.0,-0.21701622436916557,Montana,MT,30
30043,0.9573625255491045,0.3606060606060606,0.9351929317582675,0.4544089613864424,-0.6666666666666667,-0.29727272727272736,Montana,MT,30
30045,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30047,0.5896568979784994,0.3923356511717464,0.6024664632057519,0.4913651986000451,-0.011235955056179803,0.09512303770413855,Montana,MT,30
30049,0.9300531774011944,0.6093650068288818,0.9190017487606842,0.8559974941500534,0.0,0.24884594991603137,Montana,MT,30
30051,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30053,0.9308662058983417,0.6780724974339583,0.923516547280167,0.7995967264075854,-0.025000000000000022,-0.4689225325482145,Montana,MT,30
30055,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30057,0.9516097310935024,0.5624128533400938,0.9708254004355007,0.5430479701950086,-0.875,-0.5257003422487008,Montana,MT,30
30059,0.9269067796610168,0.0,0.9263771186440678,0.0,0.0,0.0,Montana,MT,30
30061,0.9313026793751698,0.07528277673321992,0.9255396774097693,0.13691231464955717,-0.38235294117647056,0.07528277673321992,Montana,MT,30
30063,0.9107388679081859,0.44301977210484766,0.9003107010996317,0.8062242877925464,-0.0066577896138482195,-0.0696267927646641,Montana,MT,30
30065,,0.0,0.0,0.0,,,Montana,MT,30
30067,0.9672853955465833,0.6773718891945493,0.9337159785224959,0.9977668981668532,0.0,0.6773718891945495,Montana,MT,30
30069,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30071,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30073,0.9186496505225361,0.2542511780372875,0.9657734146988591,0.5335731879553687,0.0,0.2542511780372875,Montana,MT,30
30075,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30077,0.8977365203990174,0.20591562954582188,0.8861832611832612,0.6950429636464015,0.0,0.20591562954582188,Montana,MT,30
30079,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30081,0.965474678293683,0.6420865171748911,0.9512781997158899,0.7909536239350746,0.0,0.06701376490752065,Montana,MT,30
30083,,0.0,0.0,0.0,,,Montana,MT,30
30085,0.41218025702300964,0.2003288657235046,0.4224287687807916,0.3446380478310943,-0.20833333333333337,0.23059899065111278,Montana,MT,30
30087,0.7622507865753906,0.9612878497508623,0.0619441888991107,0.8166873594889491,0.0,0.9612878497508625,Montana,MT,30
30089,0.8646632747389567,0.1565383072603289,0.9371848269234792,0.3420351753707056,-0.11111111111111116,0.14903524741069862,Montana,MT,30
30091,,0.0,0.0,0.0,,,Montana,MT,30
30093,0.949628296566121,0.6040622795192636,0.9222682856079001,0.9832243627499748,-0.12041884816753923,-0.10476183332729594,Montana,MT,30
30095,0.9450256059343485,0.5490495867768594,0.9712375321279774,0.39658746378792065,-0.125,-0.28814049586776846,Montana,MT,30
30097,,0.0,0.0,0.0,0.0,0.0,Montana,MT,30
30099,0.9587757671064739,0.46036768661203054,0.9272792851667437,0.3924990585529893,-0.030303030303030276,0.4982121950447742,Montana,MT,30
