county_FIPS,Dissimilarity,Spatial_Proximity ,Isolation ,Delta,tract_count,year
05043,0.20539288,1.01073018,0.34585399,0.63411363,5,2013
05045,0.35396293,1.06358529,0.1801581,0.73066854,25,2013
05047,0.51463022,1.00848981,0.02876481,0.19321517,3,2013
05049,0.25732652,1.00050664,0.00232986,0.20277875,2,2013
05051,0.50861509,1.12284721,0.22144191,0.80234379,20,2013
05053,0.43396119,1.01927539,0.048481,0.32501084,4,2013
05055,0.42257916,1.0031881,0.02116395,0.84484577,9,2013
05057,0.39040189,1.09544446,0.40723425,0.68540577,5,2013
05059,0.59151072,1.35655792,0.30219901,0.81048326,7,2013
05061,0.33595833,1.04355806,0.31304189,0.67116639,3,2013
05063,0.59972076,1.02894457,0.07829865,0.83260147,8,2013
05065,0.54669726,1.02585857,0.02835958,0.62320962,4,2013
05067,0.24895285,1.05007684,0.21132321,0.54285426,5,2013
05069,0.61134911,1.34507434,0.7570835,0.75214866,24,2013
05071,0.60161378,1.03424155,0.05864624,0.92185789,6,2013
05073,0.1346048,1.01030257,0.38945587,0.43415088,2,2013
05075,0.38398333,1.00148468,0.01401258,0.55238206,6,2013
05077,0.3607406,1.17553688,0.62911864,0.55634757,4,2013
05079,0.53540881,1.15183072,0.49220124,0.5399683,4,2013
05081,0.22881667,1.09107676,0.25279119,0.42989087,4,2013
05083,0.32905128,1.00420272,0.03035524,0.63060177,6,2013
05085,0.62610402,1.04366859,0.20612941,0.48336764,16,2013
05087,0.43038907,1.00462572,0.00335027,0.62043108,4,2013
05089,0.78211768,1.00423509,0.00964265,0.85169109,4,2013
05091,0.47834884,1.14106178,0.42425913,0.89066164,11,2013
05093,0.47684267,1.17635901,0.54548847,0.80600582,12,2013
05095,0.22992047,1.06355284,0.45850615,0.42447185,3,2013
05097,0.39257265,1.00292546,0.01008691,0.45114423,3,2013
05099,0.12770596,1.01123725,0.32591255,0.42978382,3,2013
05101,0.31891483,1.0006394,0.00412522,0.1092029,2,2013
05103,0.29659409,1.1297562,0.4761851,0.58474208,6,2013
05105,0.49105834,1.01186844,0.06677423,0.19555303,3,2013
05107,0.31537948,1.06317891,0.67045811,0.61654196,6,2013
05109,0.50756968,1.01867184,0.06865991,0.52798644,3,2013
05111,0.37243866,1.03909545,0.14973431,0.63914956,7,2013
05113,0.51613917,1.00108889,0.00256724,0.54587521,6,2013
05115,0.51372402,1.01153373,0.08350302,0.85036816,11,2013
05117,0.28179911,1.0199494,0.17063713,0.26788695,3,2013
05119,0.49217924,1.13955801,0.55967445,0.665066,94,2013
05121,0.38502426,1.00117566,0.00789727,0.34751987,4,2013
05123,0.32068106,1.00355674,0.60225345,0.65182846,6,2013
05125,0.37800903,1.01002408,0.0839026,0.72163263,21,2013
05127,0.66331658,0.99975016,0.00475342,0.98124008,3,2013
05129,0.50881969,1.00083371,0.00836642,0.73469916,3,2013
05131,0.41810393,1.04036458,0.12345167,0.85276639,26,2013
05133,0.52758841,1.04260278,0.12074808,0.63516809,4,2013
05135,0.23712158,1.00188298,0.00433753,0.10142012,4,2013
05137,0.44481027,0.99969513,0.00192365,0.72598567,3,2013
05139,0.45691164,1.19654787,0.50792096,0.70055198,10,2013
05141,0.41852867,1.01647449,0.02168607,0.568344,5,2013
05143,0.39215776,1.02991479,0.07819803,0.78977174,32,2013
05145,0.248171,1.01808121,0.06033509,0.64613737,13,2013
05147,0.21631259,0.98280994,0.31375154,0.13408395,2,2013
05149,0.39013775,1.01024775,0.04481776,0.52399877,6,2013
06001,0.48414698,1.14385479,0.39841052,0.76704948,360,2013
06003,0.0,1.0,0.00818713,0.0,1,2013
06005,0.72270264,1.01957595,0.13589741,0.75694221,9,2013
06007,0.43861404,1.00332791,0.03314952,0.7759472,51,2013
06009,0.42674463,1.0062557,0.0176576,0.48308705,10,2013
06011,0.34679253,1.01178329,0.01877221,0.55845269,5,2013
06013,0.52600118,1.13124696,0.29654009,0.68631742,207,2013
06015,0.57819404,1.01445563,0.11282955,0.83541453,7,2013
06017,0.52906004,1.01202756,0.02975201,0.82992561,42,2013
06019,0.48194297,1.05295864,0.20250197,0.92125251,199,2013
06021,0.28137576,1.00103948,0.01492075,0.70008365,6,2013
06023,0.29039308,1.00387522,0.02227087,0.71922913,30,2013
06025,0.54843323,1.01532592,0.27550868,0.6635992,31,2013
06027,0.34476586,1.00573372,0.02248101,0.73990661,6,2013
06029,0.44613976,1.05396431,0.1548567,0.88417607,151,2013
06031,0.42227723,1.03196272,0.18087876,0.89427682,27,2013
06033,0.50202867,1.05670121,0.08022132,0.69702802,15,2013
06035,0.58315433,1.06682849,0.24327313,0.66401587,9,2013
06037,0.57283276,1.29460881,0.41416081,0.80554382,2329,2013
06039,0.41308533,1.00468269,0.1362344,0.81812001,23,2013
06041,0.52332643,1.04153891,0.24131154,0.80752065,55,2013
06043,0.37475786,1.00761329,0.02349422,0.24672317,6,2013
06045,0.37094147,1.00296514,0.01501288,0.72436147,20,2013
06047,0.32068006,1.0184052,0.08629062,0.84185515,49,2013
06049,0.47300414,1.00190596,0.03143031,0.35195262,4,2013
06051,0.39992264,1.00033352,0.01060088,0.51508613,3,2013
06053,0.57332461,1.05523351,0.15645903,0.89204889,93,2013
06055,0.58897123,1.03095022,0.11663689,0.84496731,40,2013
06057,0.51040828,1.00113402,0.01447396,0.54681395,20,2013
06059,0.42582905,1.01089784,0.0593086,0.60983196,582,2013
06061,0.41740523,1.00319663,0.03333838,0.81390863,84,2013
06063,0.31478867,1.01750817,0.02187217,0.54114336,7,2013
06065,0.38279225,1.05823114,0.16253206,0.84647206,452,2013
06067,0.42088729,1.06776895,0.26017196,0.72188491,317,2013
06069,0.30154479,1.00152566,0.02227393,0.9161718,11,2013
06071,0.35343356,1.03677292,0.19540243,0.92389949,368,2013
06073,0.45442384,1.082187,0.17110194,0.8160934,627,2013
06075,0.56075243,1.03989542,0.35124918,0.72687976,195,2013
06077,0.45324429,1.05981876,0.21094946,0.81145657,139,2013
06079,0.49109997,1.08653807,0.18637333,0.8740703,53,2013
06081,0.46561995,1.03019808,0.12325974,0.78161558,156,2013
06083,0.39919752,1.00823637,0.06643761,0.81508613,88,2013
06085,0.36127605,1.00929528,0.09283669,0.80081404,372,2013
06087,0.45944705,1.0104018,0.03010809,0.79156893,52,2013
06089,0.39523584,1.00522218,0.02280223,0.85014917,48,2013
06091,0.0,1.0,0.00624133,0.0,1,2013
06093,0.51291084,1.01974395,0.03306965,0.82582321,14,2013
06095,0.40579873,1.07452093,0.32921714,0.7788894,96,2013
06097,0.3888911,1.00911456,0.04206663,0.7898496,99,2013
06099,0.38437437,1.00906356,0.06933367,0.86929355,94,2013
06101,0.20832381,1.00084539,0.03324828,0.83984422,21,2013
06103,0.56454983,1.00501673,0.02261646,0.62636811,11,2013
06105,0.38605441,0.9900678,0.01724779,0.50020339,5,2013
06107,0.43900904,1.01433353,0.04378435,0.82536737,78,2013
06109,0.70474512,1.25091662,0.18171103,0.88683414,11,2013
06111,0.39649786,1.01124582,0.04773813,0.81348627,173,2013
06113,0.40399273,1.00866536,0.07936366,0.81433253,41,2013
06115,0.39473423,1.01837143,0.07611151,0.7655658,14,2013
08001,0.46926108,1.04448145,0.13252136,0.81096061,96,2013
08003,0.2886753,0.99765936,0.02642588,0.9636025,4,2013
08005,0.44952681,1.09506574,0.23149895,0.84474549,147,2013
08007,0.51452216,1.00179268,0.01406807,0.29390267,4,2013
08009,0.46558478,0.99518004,0.01036269,0.79893309,2,2013
08011,0.0,1.0,0.11676647,0.0,1,2013
08013,0.38093453,1.00231685,0.01962811,0.77307685,68,2013
08014,0.40002074,1.00251339,0.02373089,0.60940197,15,2013
08015,0.72392793,1.02062421,0.10523311,0.76277867,5,2013
08017,0.0,1.0,0.0028103,0.0,1,2013
08019,0.18488972,1.00521048,0.00742262,0.13486208,3,2013
08021,0.04505338,1.00001391,0.00143307,0.31508539,2,2013
08023,0.0,,0.0,0.0,2,2013
08025,0.0,1.0,0.07880643,0.0,1,2013
08027,0.0,1.0,0.00839933,0.0,1,2013
08029,0.63531312,1.0159017,0.0464679,0.66724448,7,2013
08031,0.52339218,1.07552406,0.28811334,0.58508702,143,2013
08033,0.0,,0.0,0.0,1,2013
08035,0.35140782,1.00071552,0.01896566,0.7365788,61,2013
08037,0.69445678,1.01729022,0.0421905,0.81660711,14,2013
08039,0.5953174,1.01100385,0.00774751,0.69212536,7,2013
08041,0.37813505,1.04712391,0.13188262,0.83979081,130,2013
08043,0.67558683,1.0334001,0.22921947,0.8221655,13,2013
08045,0.50746775,1.01368278,0.03072777,0.73195186,11,2013
08047,0.0,1.0,0.00512315,0.0,1,2013
08049,0.50627399,1.00322573,0.01348571,0.600442,3,2013
08051,0.48890868,1.007336,0.01129356,0.83357677,4,2013
08053,0.0,,0.0,0.0,1,2013
08055,0.63927935,1.05141688,0.04806688,0.97355802,2,2013
08057,0.0,1.0,0.00074906,0.0,1,2013
08059,0.47829386,1.00391297,0.03584937,0.8246067,136,2013
08061,0.0,1.0,0.00143266,0.0,1,2013
08063,0.32657472,0.99369873,0.04509912,0.65471669,3,2013
08065,0.02113505,0.99999255,0.01241524,0.68953254,2,2013
08067,0.27735342,1.00144933,0.00792752,0.56792869,10,2013
08069,0.50816301,1.0054795,0.02660154,0.85112869,73,2013
08071,0.20298912,1.00253578,0.01433035,0.56830613,6,2013
08073,0.35168738,1.02629123,0.14680833,0.83092358,2,2013
08075,0.46419815,1.0029005,0.03266175,0.57937033,6,2013
08077,0.39897831,1.00151651,0.0164721,0.85283585,29,2013
08079,0.0,1.0,0.00818554,0.0,1,2013
08081,0.65365893,0.99849975,0.0073193,0.99920622,4,2013
08083,0.57352337,0.99787971,0.0115299,0.83716358,7,2013
